path,box,environment,fingers_presence
live_0001.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[220.9, 247.74], [730.84, 286.97], [753.55, 920.77], [284.9, 920.77]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0002.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[206.45, 359.23], [673.03, 256.0], [796.9, 1127.23], [307.61, 1226.32]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0003.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[241.55, 272.52], [788.65, 218.84], [786.58, 1001.29], [253.94, 990.97]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0004.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[500.51, 362.67], [840.21, 344.62], [848.41, 538.26], [508.72, 548.1]], ""image_width"": 1280, ""image_height"": 960}",indoor,without_fingers
live_0005.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[415.18, 313.44], [946.87, 256.0], [976.41, 661.33], [457.85, 659.69]], ""image_width"": 1280, ""image_height"": 960}",indoor,without_fingers
live_0006.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[299.35, 305.55], [695.74, 284.9], [730.84, 924.9], [266.32, 926.97]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0007.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[276.65, 266.32], [737.03, 192.0], [788.65, 1009.55], [247.74, 1067.35]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
live_0008.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[346.84, 398.45], [569.81, 384.0], [617.29, 782.45], [423.23, 790.71]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0009.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[214.71, 295.23], [753.55, 249.81], [776.26, 924.9], [307.61, 988.9]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0010.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[311.74, 227.1], [801.03, 163.1], [842.32, 1050.84], [340.65, 1054.97]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0011.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[288.82, 351.18], [1091.28, 201.85], [946.87, 687.59], [269.13, 740.1]], ""image_width"": 1280, ""image_height"": 960}",indoor,fingers
live_0012.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[256.0, 177.55], [673.03, 270.45], [586.32, 951.74], [235.35, 920.77]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0013.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[363.35, 396.39], [869.16, 373.68], [817.55, 1057.03], [340.65, 1032.26]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0014.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[165.16, 386.06], [714.32, 357.16], [724.65, 1172.65], [156.9, 1211.87]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0015.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[274.58, 342.71], [673.03, 324.13], [722.58, 1026.06], [315.87, 1090.06]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0016.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[344.77, 313.81], [794.84, 299.35], [792.77, 1077.68], [313.81, 1061.16]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0017.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[346.84, 237.42], [722.58, 251.87], [689.55, 896.0], [330.32, 881.55]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0018.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[361.29, 445.94], [697.81, 441.81], [745.29, 933.16], [402.58, 926.97]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0019.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[276.65, 431.48], [598.71, 425.29], [590.45, 825.81], [311.74, 862.97]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0020.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[361.29, 355.1], [807.23, 313.81], [827.87, 982.71], [338.58, 949.68]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0021.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[344.77, 241.55], [734.97, 216.77], [734.97, 978.58], [324.13, 945.55]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0022.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[241.55, 419.1], [648.26, 390.19], [627.61, 947.61], [235.35, 1019.87]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0023.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[237.42, 427.35], [652.39, 472.77], [668.9, 1172.65], [274.58, 1224.26]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0024.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[365.42, 505.81], [675.1, 549.16], [693.68, 1017.81], [340.65, 1011.61]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0025.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[216.77, 272.52], [706.06, 231.23], [689.55, 1048.77], [251.87, 1075.61]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0026.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[280.77, 481.03], [714.32, 412.9], [737.03, 1061.16], [274.58, 1100.39]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
live_0027.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[331.49, 285.54], [1088.0, 157.54], [1112.62, 536.62], [377.44, 633.44]], ""image_width"": 1280, ""image_height"": 960}",outdoor,without_fingers
live_0028.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[280.77, 342.71], [743.23, 450.06], [666.84, 883.61], [264.26, 850.58]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
