path,box,environment,fingers_presence
live_0328.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[297.29, 421.16], [642.06, 330.32], [646.19, 935.23], [305.55, 929.03]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0329.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[278.71, 293.16], [854.71, 125.94], [730.84, 1050.84], [260.13, 1026.06]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0330.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[72.26, 317.94], [765.94, 262.19], [761.81, 1100.39], [165.16, 1079.74]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
live_0331.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[274.58, 326.19], [747.35, 317.94], [708.13, 1044.65], [247.74, 943.48]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
live_0332.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[398.45, 179.61], [801.03, 152.77], [900.13, 1032.26], [367.48, 1034.32]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
live_0333.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[264.26, 204.39], [629.68, 194.06], [584.26, 1137.55], [227.1, 1170.58]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0334.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[286.97, 373.68], [716.39, 303.48], [757.68, 1009.55], [220.9, 1075.61]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0335.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[371.61, 315.87], [741.16, 286.97], [569.81, 1067.35], [334.45, 1110.71]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0336.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[284.9, 286.97], [611.1, 278.71], [689.55, 883.61], [324.13, 858.84]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0337.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[249.81, 425.29], [532.65, 396.39], [670.97, 1102.45], [251.87, 1071.48]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0338.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[320.0, 542.97], [681.29, 530.58], [734.97, 1001.29], [233.29, 957.94]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0339.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[222.97, 379.87], [573.94, 439.74], [780.39, 1046.71], [107.35, 1028.13]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0340.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[268.39, 454.19], [662.71, 472.77], [697.81, 1011.61], [169.29, 1011.61]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0341.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[303.48, 398.45], [786.58, 286.97], [786.58, 1141.68], [253.94, 1123.1]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0342.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[355.1, 338.58], [701.94, 324.13], [724.65, 825.81], [384.0, 821.68]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0343.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[274.58, 392.26], [739.1, 272.52], [734.97, 1077.68], [268.39, 1083.87]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0344.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[202.32, 198.19], [666.84, 210.58], [689.55, 844.39], [251.87, 842.32]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0345.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[270.45, 462.45], [658.58, 307.61], [701.94, 997.16], [307.61, 1040.52]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0346.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[247.74, 342.71], [739.1, 348.9], [788.65, 1040.52], [315.87, 1042.58]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0347.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[185.81, 367.48], [745.29, 326.19], [794.84, 1065.29], [210.58, 1073.55]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0348.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[280.77, 251.87], [617.29, 276.65], [623.48, 1003.35], [291.1, 995.1]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0349.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[208.52, 249.81], [588.39, 210.58], [491.35, 1048.77], [284.9, 1079.74]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0350.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[239.48, 247.74], [547.1, 241.55], [615.23, 968.26], [309.68, 976.52]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0351.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[377.81, 410.84], [675.1, 408.77], [691.61, 1019.87], [412.9, 999.23]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
live_0352.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[227.1, 171.35], [668.9, 239.48], [621.42, 1110.71], [227.1, 1057.03]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0353.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[305.55, 340.65], [691.61, 317.94], [699.87, 1100.39], [381.94, 1050.84]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
live_0354.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[251.87, 274.58], [604.9, 123.87], [664.77, 974.45], [346.84, 978.58]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0355.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[301.42, 410.84], [635.87, 348.9], [573.94, 1108.65], [202.32, 1048.77]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0356.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[189.94, 286.97], [567.74, 146.58], [790.71, 1081.81], [357.16, 1141.68]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0357.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[276.65, 218.84], [770.06, 179.61], [573.94, 984.77], [146.58, 869.16]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0358.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[252.72, 316.72], [1101.13, 247.79], [1099.49, 628.51], [270.77, 571.08]], ""image_width"": 1280, ""image_height"": 960}",indoor,fingers
live_0359.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[222.97, 371.61], [664.77, 235.35], [701.94, 997.16], [274.58, 990.97]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0360.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[249.81, 454.19], [683.35, 301.42], [699.87, 801.03], [276.65, 953.81]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0361.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[293.16, 361.29], [642.06, 365.42], [765.94, 1015.74], [286.97, 1005.42]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0362.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[204.39, 487.23], [701.94, 450.06], [753.55, 1009.55], [247.74, 1030.19]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0363.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[210.58, 317.94], [664.77, 297.29], [648.26, 960.0], [192.0, 935.23]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0364.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[121.81, 392.26], [578.06, 169.29], [885.68, 815.48], [307.61, 1036.39]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0365.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[381.94, 293.16], [677.16, 315.87], [681.29, 926.97], [336.52, 904.26]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0366.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[256.0, 427.35], [708.13, 231.23], [596.65, 986.84], [264.26, 966.19]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
live_0367.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[185.81, 542.97], [679.23, 311.74], [559.48, 933.16], [212.65, 896.0]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
live_0368.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[239.48, 171.35], [780.39, 340.65], [701.94, 986.84], [175.48, 885.68]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
