path,box,environment,fingers_presence
live_0415.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[181.55, 346.84], [565.27, 384.0], [519.89, 832.0], [193.93, 865.03]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0416.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[167.11, 291.1], [437.36, 375.74], [375.47, 862.97], [70.14, 807.23]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0417.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[229.0, 460.39], [579.71, 404.65], [610.66, 869.16], [266.13, 924.9]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0418.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[105.21, 315.87], [544.64, 303.48], [689.05, 896.0], [239.31, 881.55]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0419.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[257.88, 315.87], [614.79, 369.55], [596.22, 982.71], [191.86, 850.58]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0420.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[158.85, 396.39], [534.33, 336.52], [600.34, 722.58], [218.68, 794.84]], ""image_width"": 720, ""image_height"": 1280}",outdoor,without_fingers
live_0421.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[306.87, 55.76], [726.97, 18.04], [997.74, 501.87], [206.77, 511.71]], ""image_width"": 1280, ""image_height"": 720}",outdoor,fingers
live_0422.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[84.58, 359.23], [559.08, 338.58], [480.69, 1007.48], [162.98, 796.9]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0423.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[191.86, 322.06], [643.67, 284.9], [629.23, 834.06], [235.19, 875.35]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0424.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[233.12, 388.13], [532.26, 353.03], [509.57, 784.52], [167.11, 823.74]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0425.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[303.27, 278.71], [678.74, 398.45], [507.51, 962.06], [134.1, 900.13]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0426.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[119.66, 390.19], [565.27, 379.87], [664.3, 842.32], [140.29, 856.77]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0427.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[208.37, 512.0], [563.21, 495.48], [561.15, 902.19], [177.42, 904.26]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
live_0428.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[206.3, 377.81], [594.15, 392.26], [565.27, 786.58], [167.11, 790.71]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
