path,box,environment,fingers_presence
replay_0498.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[451.28, 147.61], [1158.56, 108.25], [1137.23, 675.72], [408.62, 555.99]], ""image_width"": 1280, ""image_height"": 720}",indoor,fingers
replay_0499.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[70.14, 264.26], [561.15, 260.13], [583.84, 840.26], [109.34, 854.71]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
replay_0500.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[428.31, 108.25], [1104.41, 142.69], [1063.38, 603.55], [418.46, 639.64]], ""image_width"": 1280, ""image_height"": 720}",indoor,fingers
replay_0501.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[191.86, 192.0], [559.08, 317.94], [544.64, 873.29], [177.42, 881.55]], ""image_width"": 720, ""image_height"": 1280}",outdoor,without_fingers
replay_0502.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[171.23, 161.03], [608.6, 268.39], [587.97, 955.87], [162.98, 935.23]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
replay_0503.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[259.94, 227.1], [608.6, 200.26], [602.41, 757.68], [299.14, 732.9]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
replay_0504.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[195.99, 192.0], [682.87, 239.48], [610.66, 832.0], [200.11, 734.97]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
replay_0505.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[160.92, 202.32], [639.54, 185.81], [610.66, 931.1], [183.61, 832.0]], ""image_width"": 720, ""image_height"": 1280}",outdoor,fingers
replay_0506.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[323.28, 167.29], [1038.77, 154.17], [1030.56, 680.64], [356.1, 659.32]], ""image_width"": 1280, ""image_height"": 720}",outdoor,fingers
replay_0507.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[267.49, 226.33], [836.92, 180.41], [912.41, 546.15], [352.82, 652.76]], ""image_width"": 1280, ""image_height"": 720}",outdoor,fingers
