path,box,environment,fingers_presence
replay_0627.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[311.74, 247.74], [689.55, 239.48], [668.9, 1024.0], [278.71, 1005.42]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0628.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[274.58, 198.19], [712.26, 235.35], [757.68, 1102.45], [326.19, 1118.97]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0629.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[185.81, 289.03], [538.84, 322.06], [617.29, 1050.84], [245.68, 1061.16]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0630.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[181.68, 249.81], [524.39, 251.87], [751.48, 995.1], [270.45, 1059.1]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0631.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[92.9, 206.45], [697.81, 144.52], [718.45, 1048.77], [280.77, 1108.65]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0632.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[158.97, 282.84], [716.39, 305.55], [625.55, 974.45], [175.48, 1028.13]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0633.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[233.29, 249.81], [757.68, 216.77], [745.29, 964.13], [280.77, 955.87]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0634.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[284.9, 394.32], [670.97, 390.19], [635.87, 964.13], [253.94, 945.55]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0635.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[202.32, 262.19], [631.74, 194.06], [759.74, 916.65], [206.45, 968.26]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0636.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[165.16, 487.23], [619.35, 406.71], [534.71, 966.19], [138.32, 931.1]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0637.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[86.71, 202.32], [699.87, 138.32], [737.03, 1081.81], [235.35, 1127.23]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0638.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[268.39, 307.61], [722.58, 165.16], [670.97, 962.06], [260.13, 960.0]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0639.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[136.26, 338.58], [836.13, 214.71], [770.06, 1123.1], [117.68, 1044.65]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0640.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[192.0, 394.32], [755.61, 179.61], [658.58, 1005.42], [134.19, 939.35]], ""image_width"": 960, ""image_height"": 1280}",,
replay_0641.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[357.16, 225.03], [811.35, 125.94], [693.68, 995.1], [320.0, 933.16]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0642.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[297.29, 251.87], [751.48, 111.48], [720.52, 1030.19], [268.39, 1030.19]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0643.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[272.41, 311.79], [1028.92, 344.62], [1229.13, 723.69], [128.0, 720.41]], ""image_width"": 1280, ""image_height"": 960}",indoor,fingers
replay_0644.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[361.29, 260.13], [829.94, 138.32], [718.45, 1017.81], [336.52, 947.61]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
