path,box,environment,fingers_presence
replay_0717.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[338.58, 340.65], [664.77, 313.81], [652.39, 865.03], [284.9, 900.13]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0718.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[348.9, 315.87], [732.9, 264.26], [776.26, 962.06], [326.19, 1026.06]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0719.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[212.65, 487.23], [617.29, 390.19], [691.61, 941.42], [262.19, 982.71]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0720.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[299.35, 483.1], [693.68, 460.39], [712.26, 1032.26], [299.35, 1003.35]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0721.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[386.06, 342.71], [689.55, 363.35], [743.23, 920.77], [394.32, 953.81]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0722.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[377.81, 443.87], [695.74, 431.48], [666.84, 856.77], [410.84, 836.13]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0723.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[379.87, 452.13], [662.71, 377.81], [714.32, 739.1], [390.19, 774.19]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0724.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[16.52, 163.1], [871.23, 303.48], [763.87, 759.74], [-12.39, 666.84]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0725.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[241.55, 476.9], [790.71, 456.26], [770.06, 763.87], [245.68, 768.0]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0726.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[181.68, 450.06], [858.84, 417.03], [834.06, 846.45], [183.74, 869.16]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0727.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[386.06, 394.32], [668.9, 412.9], [631.74, 877.42], [340.65, 873.29]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0728.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[158.97, 448.0], [889.81, 305.55], [856.77, 869.16], [204.39, 858.84]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0729.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[332.39, 464.52], [596.65, 443.87], [631.74, 920.77], [377.81, 941.42]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0730.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[289.03, 305.55], [817.55, 342.71], [724.65, 1028.13], [258.06, 1038.45]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0731.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[293.16, 297.29], [718.45, 289.03], [699.87, 1003.35], [297.29, 1015.74]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0732.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[2.06, 355.1], [794.84, 309.68], [809.29, 786.58], [-2.06, 807.23]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0733.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[330.32, 198.19], [722.58, 218.84], [691.61, 978.58], [192.0, 974.45]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0734.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[381.94, 390.19], [751.48, 348.9], [724.65, 984.77], [346.84, 968.26]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0735.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[218.84, 433.55], [693.68, 367.48], [714.32, 1050.84], [268.39, 1036.39], [270.45, 1034.32]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0736.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[398.45, 326.19], [827.87, 348.9], [794.84, 972.39], [375.74, 931.1]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0737.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[218.84, 274.58], [685.42, 301.42], [689.55, 1090.06], [243.61, 1088.0]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0738.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[146.58, 355.1], [712.26, 256.0], [732.9, 1092.13], [220.9, 1100.39]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0739.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[400.52, 505.81], [627.61, 464.52], [627.61, 829.94], [412.9, 836.13]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0740.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[280.77, 334.45], [631.74, 330.32], [654.45, 960.0], [289.03, 986.84]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0741.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[404.65, 381.94], [776.26, 313.81], [879.48, 904.26], [489.29, 962.06]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0742.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[276.65, 361.29], [718.45, 369.55], [706.06, 869.16], [260.13, 873.29]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0743.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[229.16, 540.9], [726.71, 445.94], [786.58, 823.74], [251.87, 858.84]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0744.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[156.9, 410.84], [687.48, 357.16], [687.48, 877.42], [258.06, 929.03]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0745.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[293.16, 493.42], [912.52, 427.35], [896.0, 1001.29], [247.74, 875.35]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
