path,box,environment,fingers_presence
replay_0921.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[258.06, 266.32], [576.0, 324.13], [584.26, 887.74], [243.61, 900.13]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_0922.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[313.81, 328.26], [666.84, 388.13], [679.23, 1034.32], [301.42, 1030.19]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0923.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[202.32, 307.61], [664.77, 301.42], [613.16, 1030.19], [179.61, 995.1]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0924.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[380.72, 173.95], [1114.26, 297.03], [1038.77, 766.36], [282.26, 656.41]], ""image_width"": 1280, ""image_height"": 960}",indoor,without_fingers
replay_0925.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[280.77, 270.45], [631.74, 365.42], [716.39, 1185.03], [286.97, 1195.35]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_0926.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[289.03, 146.58], [809.29, 189.94], [770.06, 1149.94], [266.32, 1135.48]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
replay_0927.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[204.39, 408.77], [654.45, 286.97], [815.48, 1071.48], [297.29, 1127.23]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0928.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[187.87, 433.55], [681.29, 406.71], [704.0, 1019.87], [233.29, 1032.26]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0929.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[245.68, 328.26], [720.52, 303.48], [755.61, 947.61], [309.68, 1017.81]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
replay_0930.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[229.16, 353.03], [631.74, 421.16], [648.26, 1026.06], [262.19, 1017.81]], ""image_width"": 960, ""image_height"": 1280}",indoor,without_fingers
