path,box,environment,fingers_presence
replay_1252.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[158.97, 202.32], [714.32, 136.26], [801.03, 955.87], [260.13, 1094.19]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_1253.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[338.58, 222.97], [726.71, 305.55], [704.0, 964.13], [305.55, 704.0]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_1254.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[256.0, 245.68], [753.55, 181.68], [842.32, 1104.52], [266.32, 1001.29]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_1255.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[256.0, 286.97], [755.61, 214.71], [770.06, 970.32], [357.16, 883.61]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_1256.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[363.35, 297.29], [912.52, 260.13], [869.16, 1059.1], [379.87, 984.77]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_1257.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[212.65, 282.84], [807.23, 204.39], [842.32, 951.74], [233.29, 1052.9]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_1258.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[270.45, 379.87], [770.06, 206.45], [755.61, 1030.19], [295.23, 1032.26]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_1259.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[233.29, 175.48], [792.77, 125.94], [823.74, 976.52], [266.32, 924.9]], ""image_width"": 960, ""image_height"": 1280}",outdoor,fingers
replay_1260.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[169.29, 336.52], [697.81, 280.77], [823.74, 745.29], [222.97, 790.71]], ""image_width"": 960, ""image_height"": 1280}",outdoor,without_fingers
replay_1261.jpeg,"{""label"": ""receipt"", ""shape_type"": ""polygon"", ""points"": [[243.61, 156.9], [718.45, 99.1], [786.58, 943.48], [227.1, 945.55]], ""image_width"": 960, ""image_height"": 1280}",indoor,fingers
