images,labels
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.51.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.23.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.19 (1).jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.47.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.19.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.39.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.03.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.42.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.15.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.40 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.14.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.43.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.02.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.30 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.38.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.18.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.04 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.46.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.22.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.50.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.08 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.29.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.41 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.05.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.36.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.44.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.13.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.57.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.33.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.25.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.41.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.51 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.08.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.40.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.24.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.32.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.56.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.12.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.14 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.37.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.04.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.28.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.46 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.11.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.06 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.07.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.54 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.59.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.38 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.38.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.33 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.43.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.27.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.31.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.55.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.54.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.11 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.30.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.26.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.42.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.39.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.42 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.58.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.48 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.06.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.35.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.10.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.25 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.16 (1).jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.45.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.21.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.28 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.53.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.17.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.40.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.01.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.49.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.22 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.01 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.48.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.00.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.41.jpeg,
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.16.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.52.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.28.20.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.44.jpeg,1
./Desktop/mercadona_dataset/LIVE/huavei_live/photo_2023-08-13 20.27.58 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.58.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.44 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.06.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.10.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.35.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.06.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.17 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.10.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.54.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.30.jpeg,
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.42.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.43.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.00 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.31.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.55.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.11.jpeg,
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.34 (1).jpeg,
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.07.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.34.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.11.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.07.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.59.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.36.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.38 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.20.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.55 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.44.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.06 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.16.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.48.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.00.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.16.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.17.jpeg,
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.01.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.32.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.49.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.17.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.24 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.48 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.45.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.21.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.37.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.18.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.46.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.22.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.34.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.50.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.09 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.14.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.02.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.14.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.38.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.15.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.14 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.15.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.35.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.23.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.47.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.12.jpeg,
