path,x1,y1,x2,y2,x3,y3,x4,y4,environment,fingers_presence
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0498.jpeg,448.00,137.77,1166.77,100.05,1138.87,669.16,402.05,551.07,indoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0499.jpeg,42.03,261.49,562.84,237.71,593.91,835.66,124.26,857.60,indoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0500.jpeg,425.03,121.37,1088.00,123.01,1066.67,626.51,421.74,638.00,outdoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0501.jpeg,185.67,189.94,550.83,289.03,554.96,881.55,185.67,881.55,outdoor,without_fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0502.jpeg,181.55,154.84,596.22,266.32,602.41,955.87,169.17,924.90,outdoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0503.jpeg,268.19,206.45,602.41,202.32,596.22,751.48,292.95,712.26,indoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0504.jpeg,187.74,185.81,672.55,241.55,616.85,817.55,173.30,722.58,indoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0505.jpeg,167.11,194.06,645.73,185.81,612.72,926.97,181.55,838.19,outdoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0506.jpeg,328.21,172.21,1046.97,155.81,1037.13,674.08,347.90,654.40,indoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0507.jpeg,262.56,229.61,846.77,185.33,918.97,524.83,356.10,644.56,outdoor,fingers
REPLAY/Honor 8A by Samsung Galaxy J3/replay_0508.jpeg,195.99,299.35,565.27,274.58,575.59,867.10,237.25,891.87,outdoor,fingers
