images,labels
LIVE/Honor 8A/replay_0001.jpeg,1
LIVE/Honor 8A/replay_0002.jpeg,1
LIVE/Honor 8A/replay_0003.jpeg,1
LIVE/Honor 8A/replay_0004.jpeg,0
LIVE/Honor 8A/replay_0005.jpeg,0
LIVE/Honor 8A/replay_0006.jpeg,1
LIVE/Honor 8A/replay_0007.jpeg,0
LIVE/Honor 8A/replay_0008.jpeg,1
LIVE/Honor 8A/replay_0009.jpeg,1
LIVE/Honor 8A/replay_0010.jpeg,1
LIVE/Honor 8A/replay_0011.jpeg,1
LIVE/Honor 8A/replay_0012.jpeg,1
LIVE/Honor 8A/replay_0013.jpeg,1
LIVE/Honor 8A/replay_0014.jpeg,1
LIVE/Honor 8A/replay_0015.jpeg,1
LIVE/Honor 8A/replay_0016.jpeg,1
LIVE/Honor 8A/replay_0017.jpeg,1
LIVE/Honor 8A/replay_0018.jpeg,1
LIVE/Honor 8A/replay_0019.jpeg,1
LIVE/Honor 8A/replay_0020.jpeg,1
LIVE/Honor 8A/replay_0021.jpeg,1
LIVE/Honor 8A/replay_0022.jpeg,1
LIVE/Honor 8A/replay_0023.jpeg,1
LIVE/Honor 8A/replay_0024.jpeg,1
LIVE/Honor 8A/replay_0025.jpeg,1
LIVE/Honor 8A/replay_0026.jpeg,1
LIVE/Honor 8A/replay_0027.jpeg,0
LIVE/Honor 8A/replay_0028.jpeg,0
LIVE/Honor 8A/replay_0029.jpeg,1
LIVE/Honor 8A/replay_0030.jpeg,1
LIVE/Honor 8A/replay_0031.jpeg,1
LIVE/Honor 8A/replay_0032.jpeg,1
LIVE/Honor 8A/replay_0033.jpeg,0
LIVE/Honor 8A/replay_0034.jpeg,1
LIVE/Honor 8A/replay_0035.jpeg,0
LIVE/Honor 8A/replay_0036.jpeg,0
LIVE/Honor 8A/replay_0037.jpeg,0
LIVE/Honor 8A/replay_0038.jpeg,0
LIVE/Honor 8A/replay_0039.jpeg,0
LIVE/Honor 8A/replay_0040.jpeg,0
LIVE/Honor 8A/replay_0041.jpeg,1
LIVE/Honor 8A/replay_0042.jpeg,1
LIVE/Honor 8A/replay_0043.jpeg,1
LIVE/Honor 8A/replay_0044.jpeg,1
LIVE/Honor 8A/replay_0045.jpeg,1
LIVE/Honor 8A/replay_0046.jpeg,1
LIVE/Honor 8A/replay_0047.jpeg,1
LIVE/Honor 8A/replay_0048.jpeg,0
LIVE/Honor 8A/replay_0049.jpeg,0
LIVE/Honor 8A/replay_0050.jpeg,0
LIVE/Honor 8A/replay_0051.jpeg,0
LIVE/Honor 8A/replay_0052.jpeg,0
LIVE/Honor 8A/replay_0053.jpeg,0
LIVE/Honor 8A/replay_0054.jpeg,0
LIVE/Honor 8A/replay_0055.jpeg,0
LIVE/Honor 8A/replay_0056.jpeg,0
LIVE/Honor 8A/replay_0057.jpeg,1
LIVE/Honor 8A/replay_0058.jpeg,1
LIVE/Honor 8A/replay_0059.jpeg,1
LIVE/Honor 8A/replay_0060.jpeg,1
LIVE/Honor 8A/replay_0061.jpeg,1
