path,box,environment,fingers_presence
LIVE/Honor 8A/replay_0001.jpeg,,indoor,fingers
LIVE/Honor 8A/replay_0002.jpeg,,indoor,fingers
LIVE/Honor 8A/replay_0003.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0004.jpeg,,outdoor,without_fingers
LIVE/Honor 8A/replay_0005.jpeg,,outdoor,without_fingers
LIVE/Honor 8A/replay_0006.jpeg,,indoor,fingers
LIVE/Honor 8A/replay_0007.jpeg,,indoor,without_fingers
LIVE/Honor 8A/replay_0008.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0009.jpeg,,indoor,fingers
LIVE/Honor 8A/replay_0010.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0011.jpeg,,indoor,fingers
LIVE/Honor 8A/replay_0012.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0013.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0014.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0015.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0016.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0017.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0018.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0019.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0020.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0021.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0022.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0023.jpeg,,indoor,fingers
LIVE/Honor 8A/replay_0024.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0025.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0026.jpeg,,indoor,fingers
LIVE/Honor 8A/replay_0027.jpeg,,outdoor,without_fingers
LIVE/Honor 8A/replay_0028.jpeg,,outdoor,without_fingers
LIVE/Honor 8A/replay_0029.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0030.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0031.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0032.jpeg,,outdoor,fingers
LIVE/Honor 8A/replay_0033.jpeg,,outdoor,without_fingers
LIVE/Honor 8A/replay_0034.jpeg,,indoor,fingers
